artist,language,position,title,week,year
NEIKED,English,20,SEXUAL,4,2017
Matoma,English,21,ALL NIGHT,4,2017
Alan Walker,English,22,FADED,4,2017
Scooter,English,23,BLACKOUT,4,2017
Julia Michaels,English,24,ISSUES,4,2017
The Chainsmokers,English,25,CLOSER ,4,2017
Sage The Gemini,English,26,NOW AND LATER,4,2017
Justin Bieber,English,27,LET ME LOVE YOU ,4,2017
Maroon 5,English,28,DON'T WANNA KNOW,4,2017
Gavin James,English,29,NERVOUS,4,2017
Plumbo,English,30,EN SISTE GANG,4,2017
Cheat Codes,English,31,SHED A LIGHT,4,2017
Zara Larsson,English,32,I WOULD LIKE,4,2017
Rae Sremmurd,English,33,BLACK BEATLES,4,2017
Sia,English,34,THE GREATEST ,4,2017
TRXD,English,35,OUR CITY ,4,2017
Shawn Mendes,English,36,MERCY,4,2017
Alessia Cara,English,37,HOW FAR I'LL GO,4,2017
Ariana Grande,English,38,SIDE TO SIDE,4,2017
Zedd,English,39,STARVING,4,2017
Mike Perry,English,40,INSIDE THE LINES,4,2017
Ed Sheeran,English,1,SHAPE OF YOU,5,2017
ZAYN & TAYLOR SWIFT,English,2,I DON'T WANNA LIVE FOREVER (FIFTY SHADES DARKER),5,2017
The Chainsmokers,English,3,PARIS,5,2017
Alan Walker,English,4,ALONE,5,2017
Sean Paul,English,5,ROCKABYE,5,2017
Ed Sheeran,English,6,CASTLE ON THE HILL,5,2017
Labrinth,English,7,MAKE ME (CRY),5,2017
Alok,English,8,HEAR ME NOW,5,2017
Martin Garrix,English,9,SCARED TO BE LONELY,5,2017
Hearts & Colors,English,10,LIGHTHOUSE (ANDRELLI REMIX),5,2017
Julia Michaels,English,11,ISSUES,5,2017
James Arthur,English,12,SAY YOU WON'T LET GO,5,2017
THE WEEKND,English,13,STARBOY,5,2017
THE WEEKND,English,14,I FEEL IT COMING,5,2017
Martin Jensen,English,15,SOLO DANCE,5,2017
Starley,English,16,CALL ON ME (RYAN RIBACK REMIX),5,2017
Gaute Ormåsen,Norwegian,17,KJÆRLIGHET ER MER ENN FORELSKELSE,5,2017
Sia,English,18,MOVE YOUR BODY (ALAN WALKER REMIX),5,2017
Steve Aoki,English,19,JUST HOLD ON,5,2017
MØ,English,20,DON'T LEAVE,5,2017
Alan Walker,English,21,FADED,5,2017
Sage The Gemini,English,22,NOW AND LATER,5,2017
NEIKED,English,23,SEXUAL,5,2017
Scooter,English,24,BLACKOUT,5,2017
Matoma,English,25,ALL NIGHT,5,2017
Seeb,English,26,WHAT DO YOU LOVE,5,2017
Ty Dolla $ign,English,27,SO GOOD,5,2017
Alessia Cara,English,28,HOW FAR I'LL GO,5,2017
Morgan Sulele,Norwegian,29,HØYT OVER OSLO,5,2017
Justin Bieber,English,30,LET ME LOVE YOU,5,2017
