artist,language,position,title,week,year
Zara Larsson,English,5,Only You,22,2017
Magnus Carlson,Danish,6,Eternal Love,22,2017
Wiktoria,English,7,As I Lay Me Down,22,2017
Per Gessle med Lars Winnerbäck,Swedish,8,Småstadsprat,22,2017
Måns Zelmerlöw,English,9,Wrong Decision,22,2017
Robin Bengtsson,English,10,I Can't Go On,22,2017
Nano,English,1,Hold On,23,2017
Jill Johnson,English,2,Open Your Heart,23,2017
Magnus Carlson,Danish,3,Eternal Love,23,2017
Miriam Bryant,English,4,Black Car,23,2017
Zara Larsson,English,5,Only You,23,2017
Magnus Uggla,Swedish,6,Världen Är Din,23,2017
Wiktoria,English,7,As I Lay Me Down,23,2017
Per Gessle med Lars Winnerbäck,Swedish,8,Småstadsprat,23,2017
Miriam Bryant,English,9,Rocket,23,2017
Robin Bengtsson,English,10,I Can't Go On,23,2017
Nano,English,1,Hold On,24,2017
Jill Johnson,English,2,Open Your Heart,24,2017
Zara Larsson,English,3,Only You,24,2017
Magnus Uggla,Swedish,4,Världen Är Din,24,2017
Magnus Carlson,Danish,5,Eternal Love,24,2017
Miriam Bryant,English,6,Black Car,24,2017
Wiktoria,English,7,As I Lay Me Down,24,2017
Per Gessle med Lars Winnerbäck,Swedish,8,Småstadsprat,24,2017
Miriam Bryant,English,9,Rocket,24,2017
Mando Diao,English,10,Shake,24,2017
Nano,English,1,Hold On,25,2017
Jill Johnson,English,2,Open Your Heart,25,2017
Magnus Carlson,Danish,3,Eternal Love,25,2017
Zara Larsson,English,4,Only You,25,2017
Miriam Bryant,English,5,Black Car,25,2017
Miriam Bryant,English,6,Rocket,25,2017
Wiktoria,English,7,As I Lay Me Down,25,2017
Magnus Uggla,Swedish,8,Världen Är Din,25,2017
Mando Diao,English,9,Shake,25,2017
Per Gessle med Lars Winnerbäck,Swedish,10,Småstadsprat,25,2017
Nano,English,1,Hold On,26,2017
Jill Johnson,English,2,Open Your Heart,26,2017
Miriam Bryant,English,3,Black Car,26,2017
Zara Larsson,English,4,Only You,26,2017
Magnus Carlson,Danish,5,Eternal Love,26,2017
Mando Diao,English,6,Shake,26,2017
Per Gessle med Lars Winnerbäck,Swedish,7,Småstadsprat,26,2017
Magnus Uggla,Swedish,8,Världen Är Din,26,2017
Wiktoria,English,9,As I Lay Me Down,26,2017
Miriam Bryant,English,10,Rocket,26,2017
Nano,English,1,Hold On,27,2017
Miriam Bryant,English,2,Black Car,27,2017
Magnus Carlson,Danish,3,Eternal Love,27,2017
Zara Larsson,English,4,Only You,27,2017
Jill Johnson,English,5,Open Your Heart,27,2017
Per Gessle med Lars Winnerbäck,Swedish,6,Småstadsprat,27,2017
Magnus Uggla,Swedish,7,Världen Är Din,27,2017
Wiktoria,English,8,As I Lay Me Down,27,2017
