artist,country,title,weekcount,year
Nano,Sweden,Hold On,42,2017
Zara Larsson,Sweden,Only You,33,2017
Miriam Bryant,Sweden,Rocket,30,2017
Mando Diao,Sweden,Shake,29,2017
Miriam Bryant,Sweden,Black Car,28,2017
Ted Gärdestad,Sweden,"Sol, Vind Och Vatten",24,2017
Per Gessle med Lars Winnerbäck,Sweden,Småstadsprat,22,2017
5 SECONDS OF SUMMER,Denmark,YOUNGBLOOD,15,2018
BRO,Denmark,SYDPÅ,15,2018
CALVIN HARRIS & DUA LIPA,Denmark,ONE KISS,14,2018
ED SHEERAN,Denmark,PERFECT,14,2018
"RUDIMENTAL FEAT. JESS GLYNNE, MACKLEMORE",Denmark,THESE DAYS,14,2018
DRAKE,Denmark,GOD´S PLAN,13,2018
FOOL,Denmark,STRAPPED,13,2018
KESI,Denmark,KOM OVER,13,2018
POST MALONE,Denmark,BETTER NOW,13,2018
LUKAS GRAHAM,Denmark,LOVE SOMEONE,12,2018
Pyhimys,Finland,Jättiläinen (Feat. Aksel Kankaanranta),15,2018
"Lukas Leon, Etta, Cheek",Finland,Xtc,14,2018
JVG,Finland,Popkorni,13,2018
Nikke Ankara,Finland,Rikkinäinen Prinsessa,13,2018
Pikku G,Finland,Solmussa (Feat. Behm),13,2018
Adi L Hasla,Finland,Kevät (Feat. Pihlaja),12,2018
Clean Bandit,Finland,Solo (Feat. Demi Lovato),12,2018
Ava Max,Finland,Sweet But Psycho,11,2018
"Alan Walker, Sophia Somajo",Finland,Diamond Heart,10,2018
Drake,Finland,God's Plan,10,2018
Julie Bergan,Norway,IGNITE,19,2018
5 Seconds of Summer,Norway,YOUNGBLOOD,16,2018
JESS GLYNNE,Norway,THESE DAYS,16,2018
Sia,Norway,FLAMES,16,2018
Demi Lovato,Norway,SOLO,14,2018
Dynoro,Norway,IN MY MIND,13,2018
Mads Hansen,Norway,SOMMERKROPPEN,13,2018
Alan Walker,Norway,DARKSIDE,12,2018
Alan Walker,Norway,DIAMOND HEART,12,2018
Ava Max,Norway,SWEET BUT PSYCHO,12,2018
First Aid Kit,Sweden,Fireworks,52,2018
Darin,Sweden,Tvillingen,45,2018
Miss Li,Sweden,Beautiful,41,2018
Avicii feat. Sandro Cavazza,Sweden,Without You,37,2018
Uno Svenningsson,Sweden,Det Blir Ljusare Igen,37,2018
Kamferdrops,Sweden,Jag Trodde Änglarna Fanns,36,2018
Tomas Andersson Wij,Sweden,När Solen Färgar Juninatten,28,2018
Ted Gärdestad,Sweden,"Sol, Vind Och Vatten",27,2018
Molly Sandén,Sweden,Större,25,2018
Mando Diao,Sweden,Shake,22,2018
TONES AND I,Denmark,DANCE MONKEY,21,2019
LADY GAGA & BRADLEY COOPER,Denmark,SHALLOW,20,2019
SHAWN MENDES & CAMILA CABELLO,Denmark,SEÑORITA,17,2019
ED SHEERAN & JUSTIN BIEBER,Denmark,I DON´T CARE,16,2019
GILLI,Denmark,VAI AMOR,16,2019
LORD SIVA FEAT. VERA,Denmark,PARIS,15,2019
POST MALONE,Denmark,WOW.,15,2019
BILLIE EILISH,Denmark,BAD GUY,14,2019
ED SHEERAN FEAT. KHALID,Denmark,BEAUTIFUL PEOPLE,14,2019
EMIL STABIL FEAT. GUCCI MANE,Denmark,EN SANG,14,2019
JVG,Finland,Ikuinen Vappu,28,2019
Tones And I,Finland,Dance Monkey,21,2019
Billie Eilish,Finland,Bad Guy,16,2019
"Shawn Mendes,camila Cabello",Finland,Señorita,15,2019
Pyhimys,Finland,Muistuta Mua,14,2019
BEHM,Finland,Hei Rakas,12,2019
Teflon Brothers,Finland,Harmaa Rinne,12,2019
Apulanta,Finland,Lokin Päällä Lokki,10,2019
Ariana Grande,Finland,7 Rings,10,2019
Gettomasa,Finland,Silmät,10,2019
Lady Gaga,Norway,SHALLOW,25,2019
Tones And I,Norway,DANCE MONKEY,23,2019
Shawn Mendes,Norway,SENORITA,19,2019
Billie Eilish,Norway,BAD GUY,18,2019
Isah,Norway,HALLO,17,2019
Lewis Capaldi,Norway,SOMEONE YOU LOVED,17,2019
Lil Nas X,Norway,OLD TOWN ROAD,16,2019
Ava Max,Norway,SWEET BUT PSYCHO,13,2019
Justin Bieber,Norway,I DON'T CARE,12,2019
Alan Walker,Norway,PLAY,11,2019
Veronica Maggio,Sweden,Tillfälligheter,30,2019
Avicii & Aloe Blacc,Sweden,SOS,27,2019
Mabel,Sweden,Don't Call Me Up,24,2019
Smith & Thell + Swedish Jam Factory,Sweden,Forgive Me Friend,22,2019
Mares,Sweden,Sunnanvind,21,2019
"Avicii, Agnes, Vargas & Lagola",Sweden,Tough Love,18,2019
John Lundvik,Sweden,Too Late For Love,18,2019
Lena Philipsson,Sweden,Maria Magdalena,18,2019
Anna Bergendahl,Sweden,Ashes To Ashes,17,2019
Smith & Thell,Sweden,Hotel Walls,17,2019
THE WEEKND,Denmark,BLINDING LIGHTS,31,2020
SAINT JHN,Denmark,ROSES,23,2020
ICEKIID,Denmark,ERRUDUMELLAHVAD,20,2020
LORD SIVA,Denmark,SOLHVERV,19,2020
KESI FEAT. HANS PHILIP,Denmark,BLÅ HIMMEL,17,2020
24KGOLDN FEAT. IANN DIOR,Denmark,MOOD,15,2020
DABABY FEAT. RODDY RICCH,Denmark,ROCKSTAR,15,2020
JOEL CORRY FEAT. MNEK,Denmark,HEAD & HEART,15,2020
DUA LIPA,Denmark,DON´T START NOW,13,2020
JAWSH 685 & JASON DERULO,Denmark,SAVAGE LOVE (LAXED - SIREN BEAT),13,2020
The Weeknd,Finland,Blinding Lights,36,2020
William,Finland,Penelope (Feat. Clever),35,2020
BEHM,Finland,Frida,24,2020
Arttu Wiskari,Finland,Tässäkö Tää Oli? (Feat. Leavings-Orkesteri),22,2020
BEHM,Finland,Hei Rakas,21,2020
Dababy,Finland,Rockstar (Feat. Roddy Ricch),15,2020
24Kgoldn,Finland,Mood (Feat. Iann Dior),14,2020
BEHM,Finland,Tivolit,13,2020
"Elastinen, Jenni Vartiainen",Finland,Epäröimättä Hetkeekään,12,2020
Mikael Gabriel,Finland,Oli Aikoi,12,2020
Victor Leksell,Norway,SVAG,39,2020
THE WEEKND,Norway,BLINDING LIGHTS,33,2020
Jason Derulo,Norway,SAVAGE LOVE (LAXED - SIREN BEAT),18,2020
SAINt JHN,Norway,ROSES - IMANBEK REMIX,18,2020
DaBaby,Norway,ROCKSTAR,17,2020
24kGoldn,Norway,MOOD,15,2020
Tones And I,Norway,DANCE MONKEY,15,2020
Dagny,Norway,SOMEBODY,14,2020
Gunna,Norway,LEMONADE,12,2020
Tate McRae,Norway,YOU BROKE ME FIRST,12,2020
Victor Leksell,Sweden,Svag,47,2020
Darin,Sweden,En Säng Av Rosor,43,2020
Miss Li,Sweden,Komplicerad,38,2020
Miss Li,Sweden,Lev Nu Dö Sen,35,2020
Laleh,Sweden,Det Kommer Bli Bra,32,2020
Smith & Thell,Sweden,Goliath,29,2020
Miriam Bryant,Sweden,Nån Av Oss,18,2020
Jubël,Sweden,Someone,17,2020
Agnes,Sweden,Fingers Crossed,16,2020
Carola & Zara Larsson,Sweden,Säg Mig Var Du Står,16,2020
THE WEEKND,Denmark,SAVE YOUR TEARS,28,2021
KIDD,Denmark,BUONGIORNO,23,2021
"BENNY JAMZ, GILLI, KESI FEAT. B.O.C",Denmark,IBIZA,22,2021
ED SHEERAN,Denmark,BAD HABITS,22,2021
RH FEAT. BRANCO,Denmark,MCQUEEN,20,2021
THE KID LAROI & JUSTIN BIEBER,Denmark,STAY,20,2021
TOBIAS RAHIM FEAT. ANDREAS ODBJERG,Denmark,STOR MAND,17,2021
ARTIGEARDIT X KESI,Denmark,ER HER,16,2021
JUSTIN BIEBER FEAT. DANIEL CAESAR & GI..,Denmark,PEACHES,15,2021
