artist,country,title,weekcount,year,language
Julie Bergan,Norway,IGNITE,19,2018,English
5 Seconds of Summer,Norway,YOUNGBLOOD,16,2018,English
JESS GLYNNE,Norway,THESE DAYS,16,2018,English
Sia,Norway,FLAMES,16,2018,English
Demi Lovato,Norway,SOLO,14,2018,English
Dynoro,Norway,IN MY MIND,13,2018,English
Mads Hansen,Norway,SOMMERKROPPEN,13,2018,Norwegian
Alan Walker,Norway,DARKSIDE,12,2018,English
Alan Walker,Norway,DIAMOND HEART,12,2018,English
Ava Max,Norway,SWEET BUT PSYCHO,12,2018,English
First Aid Kit,Sweden,Fireworks,52,2018,English
Darin,Sweden,Tvillingen,45,2018,Swedish
Miss Li,Sweden,Beautiful,41,2018,English
Avicii feat. Sandro Cavazza,Sweden,Without You,37,2018,English
Uno Svenningsson,Sweden,Det Blir Ljusare Igen,37,2018,Norwegian
Kamferdrops,Sweden,Jag Trodde Änglarna Fanns,36,2018,Swedish
Tomas Andersson Wij,Sweden,När Solen Färgar Juninatten,28,2018,Swedish
Ted Gärdestad,Sweden,"Sol, Vind Och Vatten",27,2018,Swedish
Molly Sandén,Sweden,Större,25,2018,Swedish
Mando Diao,Sweden,Shake,22,2018,English
TONES AND I,Denmark,DANCE MONKEY,21,2019,English
LADY GAGA & BRADLEY COOPER,Denmark,SHALLOW,20,2019,English
SHAWN MENDES & CAMILA CABELLO,Denmark,SEÑORITA,17,2019,English
ED SHEERAN & JUSTIN BIEBER,Denmark,I DON´T CARE,16,2019,English
GILLI,Denmark,VAI AMOR,16,2019,Norwegian
LORD SIVA FEAT. VERA,Denmark,PARIS,15,2019,English
POST MALONE,Denmark,WOW.,15,2019,English
BILLIE EILISH,Denmark,BAD GUY,14,2019,English
ED SHEERAN FEAT. KHALID,Denmark,BEAUTIFUL PEOPLE,14,2019,English
EMIL STABIL FEAT. GUCCI MANE,Denmark,EN SANG,14,2019,Danish
JVG,Finland,Ikuinen Vappu,28,2019,Finnish
Tones And I,Finland,Dance Monkey,21,2019,English
Billie Eilish,Finland,Bad Guy,16,2019,English
