artist,country,language,title,weekcount,year
SHAWN MENDES & CAMILA CABELLO,Denmark,English,SEÑORITA,17,2019
ED SHEERAN & JUSTIN BIEBER,Denmark,English,I DON´T CARE,16,2019
GILLI,Denmark,"Danish,Portuguese",VAI AMOR,16,2019
LORD SIVA FEAT. VERA,Denmark,English,PARIS,15,2019
POST MALONE,Denmark,English,WOW.,15,2019
BILLIE EILISH,Denmark,English,BAD GUY,14,2019
ED SHEERAN FEAT. KHALID,Denmark,English,BEAUTIFUL PEOPLE,14,2019
EMIL STABIL FEAT. GUCCI MANE,Denmark,Danish,EN SANG,14,2019
JVG,Finland,Finnish,Ikuinen Vappu,28,2019
Tones And I,Finland,English,Dance Monkey,21,2019
Billie Eilish,Finland,English,Bad Guy,16,2019
"Shawn Mendes,camila Cabello",Finland,English,Señorita,15,2019
Pyhimys,Finland,Finnish,Muistuta Mua,14,2019
BEHM,Finland,Finnish,Hei Rakas,12,2019
Teflon Brothers,Finland,Finnish,Harmaa Rinne,12,2019
Apulanta,Finland,Finnish,Lokin Päällä Lokki,10,2019
Ariana Grande,Finland,English,7 Rings,10,2019
Gettomasa,Finland,Finnish,Silmät,10,2019
Lady Gaga,Norway,English,SHALLOW,25,2019
Tones And I,Norway,English,DANCE MONKEY,23,2019
Shawn Mendes,Norway,English,SENORITA,19,2019
Billie Eilish,Norway,English,BAD GUY,18,2019
Isah,Norway,"Norwegian,English",HALLO,17,2019
Lewis Capaldi,Norway,English,SOMEONE YOU LOVED,17,2019
Lil Nas X,Norway,English,OLD TOWN ROAD,16,2019
Ava Max,Norway,English,SWEET BUT PSYCHO,13,2019
Justin Bieber,Norway,English,I DON'T CARE,12,2019
Alan Walker,Norway,English,PLAY,11,2019
Veronica Maggio,Sweden,Swedish,Tillfälligheter,30,2019
Avicii & Aloe Blacc,Sweden,English,SOS,27,2019
Mabel,Sweden,English,Don't Call Me Up,24,2019
Smith & Thell + Swedish Jam Factory,Sweden,English,Forgive Me Friend,22,2019
Mares,Sweden,Swedish,Sunnanvind,21,2019
"Avicii, Agnes, Vargas & Lagola",Sweden,English,Tough Love,18,2019
John Lundvik,Sweden,English,Too Late For Love,18,2019
Lena Philipsson,Sweden,Swedish,Maria Magdalena,18,2019
Anna Bergendahl,Sweden,English,Ashes To Ashes,17,2019
Smith & Thell,Sweden,English,Hotel Walls,17,2019
THE WEEKND,Denmark,English,BLINDING LIGHTS,31,2020
SAINT JHN,Denmark,English,ROSES,23,2020
ICEKIID,Denmark,Danish,ERRUDUMELLAHVAD,20,2020
LORD SIVA,Denmark,Danish,SOLHVERV,19,2020
KESI FEAT. HANS PHILIP,Denmark,Danish,BLÅ HIMMEL,17,2020
24KGOLDN FEAT. IANN DIOR,Denmark,English,MOOD,15,2020
DABABY FEAT. RODDY RICCH,Denmark,English,ROCKSTAR,15,2020
JOEL CORRY FEAT. MNEK,Denmark,English,HEAD & HEART,15,2020
DUA LIPA,Denmark,English,DON´T START NOW,13,2020
JAWSH 685 & JASON DERULO,Denmark,English,SAVAGE LOVE (LAXED - SIREN BEAT),13,2020
The Weeknd,Finland,English,Blinding Lights,36,2020
William,Finland,Finnish,Penelope (Feat. Clever),35,2020
BEHM,Finland,Finnish,Frida,24,2020
Arttu Wiskari,Finland,Finnish,Tässäkö Tää Oli? (Feat. Leavings-Orkesteri),22,2020
BEHM,Finland,Finnish,Hei Rakas,21,2020
Dababy,Finland,English,Rockstar (Feat. Roddy Ricch),15,2020
24Kgoldn,Finland,English,Mood (Feat. Iann Dior),14,2020
BEHM,Finland,Finnish,Tivolit,13,2020
"Elastinen, Jenni Vartiainen",Finland,Finnish,Epäröimättä Hetkeekään,12,2020
Mikael Gabriel,Finland,Finnish,Oli Aikoi,12,2020
Victor Leksell,Norway,Swedish,SVAG,39,2020
THE WEEKND,Norway,English,BLINDING LIGHTS,33,2020
Jason Derulo,Norway,English,SAVAGE LOVE (LAXED - SIREN BEAT),18,2020
SAINt JHN,Norway,English,ROSES - IMANBEK REMIX,18,2020
DaBaby,Norway,English,ROCKSTAR,17,2020
24kGoldn,Norway,English,MOOD,15,2020
Tones And I,Norway,English,DANCE MONKEY,15,2020
Dagny,Norway,English,SOMEBODY,14,2020
Gunna,Norway,English,LEMONADE,12,2020
Tate McRae,Norway,English,YOU BROKE ME FIRST,12,2020
Victor Leksell,Sweden,Swedish,Svag,47,2020
Darin,Sweden,Swedish,En Säng Av Rosor,43,2020
Miss Li,Sweden,Swedish,Komplicerad,38,2020
Miss Li,Sweden,Swedish,Lev Nu Dö Sen,35,2020
Laleh,Sweden,Swedish,Det Kommer Bli Bra,32,2020
Smith & Thell,Sweden,English,Goliath,29,2020
Miriam Bryant,Sweden,Swedish,Nån Av Oss,18,2020
Jubël,Sweden,English,Someone,17,2020
Agnes,Sweden,English,Fingers Crossed,16,2020
Carola & Zara Larsson,Sweden,Swedish,Säg Mig Var Du Står,16,2020
THE WEEKND,Denmark,English,SAVE YOUR TEARS,28,2021
KIDD,Denmark,Danish,BUONGIORNO,23,2021
"BENNY JAMZ, GILLI, KESI FEAT. B.O.C",Denmark,Norwegian,IBIZA,22,2021
ED SHEERAN,Denmark,English,BAD HABITS,22,2021
RH FEAT. BRANCO,Denmark,Danish,MCQUEEN,20,2021
THE KID LAROI & JUSTIN BIEBER,Denmark,English,STAY,20,2021
TOBIAS RAHIM FEAT. ANDREAS ODBJERG,Denmark,Danish,STOR MAND,17,2021
ARTIGEARDIT X KESI,Denmark,Danish,ER HER,16,2021
JUSTIN BIEBER FEAT. DANIEL CAESAR & GI..,Denmark,English,PEACHES,15,2021
OLIVIA RODRIGO,Denmark,English,DRIVERS LICENSE,14,2021
Portion Boys,Finland,Finnish,Vauhti Kiihtyy (Feat. Matti Ja Teppo),28,2021
Blind Channel,Finland,English,Dark Side,22,2021
"The Kid LAROI, Justin Bieber",Finland,English,Stay,22,2021
Ed Sheeran,Finland,English,Bad Habits,21,2021
Haloo Helsinki!,Finland,Finnish,Piilotan Mun Kyyneleet,17,2021
Måneskin,Finland,English,I Wanna Be Your Slave,16,2021
"Cledos, ibe, Averagekidluke, A36",Finland,Swedish,Samma Gamla Vanliga - Remix,15,2021
Masked Wolf,Finland,English,Astronaut In The Ocean,15,2021
Måneskin,Finland,English,Beggin',15,2021
Ed Sheeran,Finland,English,Shivers,14,2021
Maria Mena,Norway,Norwegian,DEN FINESTE CHEVY'N,27,2021
Chris Holsten,Norway,Norwegian,SMILET I DITT EGET SPEIL,22,2021
Ed Sheeran,Norway,English,BAD HABITS,20,2021
Justin Bieber,Norway,English,STAY,19,2021
THE WEEKND,Norway,English,SAVE YOUR TEARS,18,2021
Olivia Rodrigo,Norway,English,GOOD 4 U,15,2021
Gabry Ponte,Norway,English,THUNDER,14,2021
Olivia Rodrigo,Norway,English,DRIVERS LICENSE,13,2021
Glass Animals,Norway,English,HEAT WAVES,12,2021
Lil Nas X,Norway,English,INDUSTRY BABY,12,2021
Miriam Bryant & Victor Leksell,Sweden,Swedish,tystnar i luren,38,2021
Molly Sandén,Sweden,Swedish,Nån Annan Nu,30,2021
Newkid,Sweden,Swedish,Starkare,29,2021
Hanna Ferm,Sweden,Swedish,För Evigt,28,2021
Clara Klingenström,Sweden,Swedish,Behöver Inte Dig Idag,25,2021
Veronica Maggio,Sweden,Swedish,SE MIG,25,2021
Myra Granberg,Sweden,Swedish,Lose My Mind,24,2021
Newkid,Sweden,Swedish,Du Måste Finnas,24,2021
Miss Li,Sweden,Swedish,Instruktionsboken,22,2021
Albin Lee Meldau,Sweden,Swedish,Josefin,21,2021
