position,artist,title,year,week,language
1,Nano,Hold On,2017,15,English
2,Laleh,Bara Få Va Mig Själv,2017,15,Swedish
3,Jill Johnson,Open Your Heart,2017,15,English
4,Miriam Bryant,Black Car,2017,15,English
5,Wiktoria,As I Lay Me Down,2017,15,English
6,Magnus Uggla,Världen Är Din,2017,15,Swedish
7,Magnus Carlson,Eternal Love,2017,15,Danish
8,Miriam Bryant,Everything,2017,15,English
9,Weeping Willows,My Love Is Not Blind,2017,15,English
10,Robin Bengtsson,I Can't Go On,2017,15,English
1,Nano,Hold On,2017,16,English
2,Magnus Carlson,Eternal Love,2017,16,Danish
3,Jill Johnson,Open Your Heart,2017,16,English
4,Miriam Bryant,Black Car,2017,16,English
5,Laleh,Bara Få Va Mig Själv,2017,16,Swedish
6,Wiktoria,As I Lay Me Down,2017,16,English
7,Weeping Willows,My Love Is Not Blind,2017,16,English
8,Robin Bengtsson,I Can't Go On,2017,16,English
9,Magnus Uggla,Världen Är Din,2017,16,Swedish
10,Per Gessle med Lars Winnerbäck,Småstadsprat,2017,16,Swedish
1,Nano,Hold On,2017,17,English
2,Laleh,Bara Få Va Mig Själv,2017,17,Swedish
3,Jill Johnson,Open Your Heart,2017,17,English
4,Miriam Bryant,Black Car,2017,17,English
5,Weeping Willows,My Love Is Not Blind,2017,17,English
6,Magnus Carlson,Eternal Love,2017,17,Danish
7,Magnus Uggla,Världen Är Din,2017,17,Swedish
8,Wiktoria,As I Lay Me Down,2017,17,English
9,Per Gessle med Lars Winnerbäck,Småstadsprat,2017,17,Swedish
10,Robin Bengtsson,I Can't Go On,2017,17,English
1,Nano,Hold On,2017,18,English
2,Jill Johnson,Open Your Heart,2017,18,English
3,Miriam Bryant,Black Car,2017,18,English
4,Magnus Carlson,Eternal Love,2017,18,Danish
5,Laleh,Bara Få Va Mig Själv,2017,18,Swedish
6,Weeping Willows,My Love Is Not Blind,2017,18,English
7,Wiktoria,As I Lay Me Down,2017,18,English
8,Magnus Uggla,Världen Är Din,2017,18,Swedish
9,Robin Bengtsson,I Can't Go On,2017,18,English
10,Per Gessle med Lars Winnerbäck,Småstadsprat,2017,18,Swedish
1,Nano,Hold On,2017,19,English
2,Laleh,Bara Få Va Mig Själv,2017,19,Swedish
3,Miriam Bryant,Black Car,2017,19,English
4,Magnus Carlson,Eternal Love,2017,19,Danish
5,Jill Johnson,Open Your Heart,2017,19,English
6,Wiktoria,As I Lay Me Down,2017,19,English
7,Magnus Uggla,Världen Är Din,2017,19,Swedish
8,Per Gessle med Lars Winnerbäck,Småstadsprat,2017,19,Swedish
9,Robin Bengtsson,I Can't Go On,2017,19,English
10,Peter LeMarc,Kom Och Gör Mig...Oh!,2017,19,Swedish
1,Nano,Hold On,2017,20,English
2,Miriam Bryant,Black Car,2017,20,English
3,Jill Johnson,Open Your Heart,2017,20,English
4,Magnus Uggla,Världen Är Din,2017,20,Swedish
5,Wiktoria,As I Lay Me Down,2017,20,English
6,Magnus Carlson,Eternal Love,2017,20,Danish
7,Zara Larsson,Only You,2017,20,English
8,Per Gessle med Lars Winnerbäck,Småstadsprat,2017,20,Swedish
9,Robin Bengtsson,I Can't Go On,2017,20,English
10,Darin,Ja Må Du Leva,2017,20,Swedish
1,Nano,Hold On,2017,21,English
2,Miriam Bryant,Black Car,2017,21,English
3,Magnus Carlson,Eternal Love,2017,21,Danish
4,Jill Johnson,Open Your Heart,2017,21,English
5,Zara Larsson,Only You,2017,21,English
6,Magnus Uggla,Världen Är Din,2017,21,Swedish
7,Per Gessle med Lars Winnerbäck,Småstadsprat,2017,21,Swedish
8,Wiktoria,As I Lay Me Down,2017,21,English
9,Robin Bengtsson,I Can't Go On,2017,21,English
10,Måns Zelmerlöw,Wrong Decision,2017,21,English
1,Nano,Hold On,2017,22,English
2,Miriam Bryant,Black Car,2017,22,English
3,Magnus Uggla,Världen Är Din,2017,22,Swedish
4,Jill Johnson,Open Your Heart,2017,22,English
5,Zara Larsson,Only You,2017,22,English
6,Magnus Carlson,Eternal Love,2017,22,Danish
7,Wiktoria,As I Lay Me Down,2017,22,English
8,Per Gessle med Lars Winnerbäck,Småstadsprat,2017,22,Swedish
9,Måns Zelmerlöw,Wrong Decision,2017,22,English
10,Robin Bengtsson,I Can't Go On,2017,22,English
1,Nano,Hold On,2017,23,English
2,Jill Johnson,Open Your Heart,2017,23,English
3,Magnus Carlson,Eternal Love,2017,23,Danish
4,Miriam Bryant,Black Car,2017,23,English
5,Zara Larsson,Only You,2017,23,English
6,Magnus Uggla,Världen Är Din,2017,23,Swedish
7,Wiktoria,As I Lay Me Down,2017,23,English
8,Per Gessle med Lars Winnerbäck,Småstadsprat,2017,23,Swedish
9,Miriam Bryant,Rocket,2017,23,English
10,Robin Bengtsson,I Can't Go On,2017,23,English
1,Nano,Hold On,2017,24,English
2,Jill Johnson,Open Your Heart,2017,24,English
3,Zara Larsson,Only You,2017,24,English
4,Magnus Uggla,Världen Är Din,2017,24,Swedish
5,Magnus Carlson,Eternal Love,2017,24,Danish
6,Miriam Bryant,Black Car,2017,24,English
7,Wiktoria,As I Lay Me Down,2017,24,English
8,Per Gessle med Lars Winnerbäck,Småstadsprat,2017,24,Swedish
9,Miriam Bryant,Rocket,2017,24,English
10,Mando Diao,Shake,2017,24,English
1,Nano,Hold On,2017,25,English
2,Jill Johnson,Open Your Heart,2017,25,English
3,Magnus Carlson,Eternal Love,2017,25,Danish
4,Zara Larsson,Only You,2017,25,English
5,Miriam Bryant,Black Car,2017,25,English
6,Miriam Bryant,Rocket,2017,25,English
7,Wiktoria,As I Lay Me Down,2017,25,English
8,Magnus Uggla,Världen Är Din,2017,25,Swedish
