artist,country,language,title,year
Hanne Krogh,Norway,Norwegian,Lykken Er ...,1971
Mary Roos,Germany,German,Nur Die Liebe Lässt Uns Leben,1972
Betty Mars,France,French,Come Comédie,1972
Sandie Jones,Ireland,Irish-Gaelic,Ceol An Ghra,1972
Jaime Morey,Spain,Spanish,Amanece,1972
The New seekers,United Kingdom,English,"Beg, Steal Or Borrow",1972
Grethe Kausland & Benny Borg,Norway,Norwegian,Småting,1972
Carlos Mendes,Portugal,Portuguese,A Festa Da Vida,1972
Véronique Müller,Switzerland,French,C'est La Chanson De Mon Amour,1972
Helen & Joseph,Malta,Maltese,L-imhabba,1972
Päivi Paunu & Kim Floor,Finland,Finnish,Muistathan,1972
Milestones,Austria,German,Falter Im Wind,1972
Nicola di Bari,Italy,Italian,I Giorni Dell' Arcobaleno,1972
Tereza,Yugoslavia,Croatian,Musika I Ti,1972
Family Four,Sweden,Swedish,Härliga Sommardag,1972
Anne-Marie Godart & Peter McLane,Monaco,French,Comme On S'aime,1972
Serge & Christine Ghisoland,Belgium,French,A La Folie Ou Pas Du Tout,1972
Vicky Leandros,Luxembourg,French,Après Toi,1972
Sandra & Andres,Netherlands,Dutch,Als Het Om De Liefde Gaat,1972
Marion Rung,Finland,English,Tom Tom Tom,1973
Nicole & Hugo,Belgium,Dutch,Baby Baby,1973
Fernando Tordo,Portugal,Portuguese,Tourada,1973
Gitte,Germany,German,Junger Tag,1973
Bendik Singers,Norway,English-French,It's Just A Game,1973
Marie,Monaco,French,Un Train Qui Part,1973
Mocedades,Spain,Spanish,Eres Tú,1973
Patrick Juvet,Switzerland,French,"Je Vais Me Marier, Marie",1973
Zdravko Čolić,Yugoslavia,Bosnian,Gori Vatra,1973
Massimo Ranieri,Italy,Italian,Chi Sarà Con Te,1973
Anne-Marie David,Luxembourg,French,Tu Te Reconnaîtras,1973
Nova & the Dolls,Sweden,English,You're Summer,1973
Ben Cramer,Netherlands,Dutch,De Oude Muzikant,1973
Maxi,Ireland,English,Do I Dream?,1973
