artist,country,place_final,points_final,title,year
Eythor Ingi,Iceland,17.0,47.0,Ég Á Líf,2013
Ryan Dolan,Ireland,26.0,5.0,Only Love Survives,2013
Moran Mazor,Israel,,,Rak Bishvilo,2013
Marco Mengoni,Italy,7.0,126.0,L'Essenziale,2013
PeR,Latvia,,,Here We Go,2013
Andrius Pojavis,Lithuania,22.0,17.0,Something,2013
Gianluca,Malta,8.0,120.0,Tomorrow,2013
Aliona Moon,Moldova,11.0,71.0,O Mie,2013
Who See,Montenegro,,,Igranka,2013
Anouk,Netherlands,9.0,114.0,Birds,2013
Esma & Lozano,North Macedonia,,,Pred Da Se Razdeni,2013
Margaret Berger,Norway,4.0,191.0,I Feed You My Love,2013
Cezar,Romania,13.0,65.0,It's My Life,2013
Dina Garipova,Russia,5.0,174.0,What If,2013
Valentina Monetta,San Marino,,,Crisalide (Vola),2013
Moje 3,Serbia,,,Ljubav Je Svuda,2013
Hannah,Slovenia,,,Straight Into Love,2013
ESDM,Spain,25.0,8.0,Contigo Hasta El Final (With You Until The End),2013
Robin Stjernberg,Sweden,14.0,62.0,You,2013
Takasa,Switzerland,,,You And Me,2013
Zlata Ognevich,Ukraine,3.0,214.0,Gravity,2013
Bonnie Tyler,United Kingdom,19.0,23.0,Believe In Me,2013
Rona Nishliu,Albania,5.0,146.0,Suus,2012
Trackshittaz,Austria,,,Woki Mit Deim Popo,2012
Sabina Babayeva,Azerbaijan,4.0,150.0,When The Music Dies,2012
Litesound,Belarus,,,We Are The Heroes,2012
Iris,Belgium,,,Would You?,2012
Maya Sar,Bosnia & Herzegovina,18.0,55.0,Korake Ti Znam,2012
Sofi Marinova,Bulgaria,,,Love Unlimited,2012
Nina Badrić,Croatia,,,Nebo,2012
Ivi Adamou,Cyprus,16.0,65.0,La La Love,2012
Soluna Samay,Denmark,23.0,21.0,Should've Known Better,2012
Ott Lepland,Estonia,6.0,120.0,Kuula,2012
Pernilla,Finland,,,När Jag Blundar,2012
Anggun,France,22.0,21.0,Echo (You And I),2012
Anri Jokhadze,Georgia,,,I'm A Joker,2012
Roman Lob,Germany,8.0,110.0,Standing Still,2012
Eleftheria Eleftheriou,Greece,17.0,64.0,Aphrodisiac,2012
Compact Disco,Hungary,24.0,19.0,Sound Of Our Hearts,2012
Greta Salóme & Jónsi,Iceland,20.0,46.0,Never Forget,2012
Jedward,Ireland,19.0,46.0,Waterline,2012
Izabo,Israel,,,Time,2012
Nina Zilli,Italy,9.0,101.0,L'Amore È Femmina (Out Of Love),2012
Anmary,Latvia,,,Beautiful Song,2012
Donny Montell,Lithuania,14.0,70.0,Love Is Blind,2012
Kurt Calleja,Malta,21.0,41.0,This Is The Night,2012
Pasha Parfeny,Moldova,11.0,81.0,Lăutar,2012
Rambo Amadeus,Montenegro,,,Euro Neuro,2012
Joan Franka,Netherlands,,,You And Me,2012
Kaliopi,North Macedonia,13.0,71.0,Crno I Belo,2012
Tooji,Norway,26.0,7.0,Stay,2012
Filipa Sousa,Portugal,,,Vida Minha,2012
Mandinga,Romania,12.0,71.0,Zaleilah,2012
Buranovskiye Babushki,Russia,2.0,259.0,Party For Everybody,2012
Valentina Monetta,San Marino,,,The Social Network Song (Oh Oh – Uh - Oh Oh),2012
Željko Joksimović,Serbia,3.0,214.0,Nije Ljubav Stvar,2012
Max Jason Mai,Slovakia,,,Don't Close Your Eyes,2012
Eva Boto,Slovenia,,,Verjamem,2012
Pastora Soler,Spain,10.0,97.0,Quédate Conmigo (Stay With Me),2012
Loreen,Sweden,1.0,372.0,Euphoria,2012
Sinplus,Switzerland,,,Unbreakable,2012
Can Bonomo,Turkey,7.0,112.0,Love Me Back,2012
Gaitana,Ukraine,15.0,65.0,Be My Guest,2012
Engelbert Humperdinck,United Kingdom,25.0,12.0,Love Will Set You Free,2012
Aurela Gaçe,Albania,,,Feel The Passion,2011
Emmy,Armenia,,,Boom Boom,2011
Nadine Beiler,Austria,18.0,64.0,The Secret Is Love,2011
Ell/Nikki,Azerbaijan,1.0,221.0,Running Scared,2011
Anastasiya Vinnikova,Belarus,,,I Love Belarus,2011
Witloof Bay,Belgium,,,With Love Baby,2011
Dino Merlin,Bosnia & Herzegovina,6.0,125.0,Love In Rewind,2011
Poli Genova,Bulgaria,,,Na Inat,2011
Daria,Croatia,,,Celebrate,2011
Christos Mylordos,Cyprus,,,San Aggelos S’Agapisa,2011
A Friend In London,Denmark,5.0,134.0,New Tomorrow,2011
Getter Jaani,Estonia,24.0,44.0,Rockefeller Street,2011
Paradise Oskar,Finland,21.0,57.0,Da Da Dam,2011
Amaury Vassili,France,15.0,82.0,Sognu,2011
Eldrine,Georgia,9.0,110.0,One More Day,2011
Lena,Germany,10.0,107.0,Taken By A Stranger,2011
Loucas Yiorkas feat. Stereo Mike,Greece,7.0,120.0,Watch My Dance,2011
Kati Wolf,Hungary,22.0,53.0,What About My Dreams?,2011
Sjonni's Friends,Iceland,20.0,61.0,Coming Home,2011
Jedward,Ireland,8.0,119.0,Lipstick,2011
Dana International,Israel,,,Ding Dong,2011
Raphael Gualazzi,Italy,2.0,189.0,Madness Of Love,2011
Musiqq,Latvia,,,Angel In Disguise,2011
Evelina Sašenko,Lithuania,19.0,63.0,C'est Ma Vie,2011
Glen Vella,Malta,,,One Life,2011
Zdob și Zdub,Moldova,12.0,97.0,So Lucky,2011
3JS,Netherlands,,,Never Alone,2011
Vlatko Ilievski,North Macedonia,,,Rusinka,2011
Stella Mwangi,Norway,,,Haba Haba,2011
Magdalena Tul,Poland,,,Jestem,2011
Homens Da Luta,Portugal,,,Luta É Alegria,2011
Hotel FM,Romania,17.0,77.0,Change,2011
